id,Date,Open,High,Low,Close,Volume
9,2019-03-18,362.470001,370.970001,361.859985,363.440002,7194700
9,2019-03-19,366.399994,366.959991,356.799988,358.779999,7541400
9,2019-03-20,358.910004,375.899994,357.01001,375.220001,10917200
9,2019-03-21,374,379,370.609985,377.869995,8544000
9,2019-03-22,375.950012,376.429993,360.040009,361.01001,8661300
9,2019-03-25,359,367.040009,357.440002,366.230011,8473800
9,2019-03-26,367.869995,368.380005,358.019989,359.970001,7666500
9,2019-03-27,361,362.470001,350.369995,353.369995,7852400
9,2019-03-28,354.48999,355.940002,349.200012,354.609985,4361000
9,2019-03-29,357.160004,358.25,353.709991,356.559998,4705600
9,2019-04-01,359,368.329987,358.51001,366.959991,7036100
9,2019-04-02,366.25,368.420013,362.220001,367.720001,5158700
9,2019-04-03,369.26001,373.410004,366.190002,369.75,5368900
9,2019-04-04,370.070007,372.049988,362.399994,367.880005,4627300
9,2019-04-05,369,369.799988,364.660004,365.48999,3905500
9,2019-04-08,365.109985,365.940002,359.929993,361.410004,4653800
9,2019-04-09,360.540009,366.73999,359,364.709991,5439200
9,2019-04-10,365.790009,368.850006,362.25,363.920013,4545600
9,2019-04-11,365,370.119995,360.809998,367.649994,6526900
9,2019-04-12,360.690002,361.75,349.359985,351.140015,15646200
9,2019-04-15,350.709991,352.209991,342.269989,348.869995,8842300
9,2019-04-16,355,364.480011,352.720001,359.459991,18740200
9,2019-04-17,365.049988,368.76001,350.600006,354.73999,18054100
9,2019-04-18,355,360.410004,351.640015,360.350006,8353200
9,2019-04-22,359.700012,377.690002,359,377.339996,11980500
9,2019-04-23,375.450012,384.799988,374.709991,381.890015,10089800
9,2019-04-24,381.070007,381.899994,373.269989,374.230011,6541900
9,2019-04-25,374.48999,374.76001,365.700012,368.329987,6255500
9,2019-04-26,368.350006,375.140015,366.23999,374.850006,5621900
9,2019-04-29,373.679993,374.579987,369.119995,371.829987,3821700
9,2019-04-30,369.559998,374.5,368.350006,370.540009,3870100
9,2019-05-01,374,385.98999,373.170013,378.809998,9257300
9,2019-05-02,378,383.5,374.51001,379.059998,5398200
9,2019-05-03,381.529999,385.029999,378.269989,385.029999,5130300
9,2019-05-06,377.690002,381.350006,376,378.670013,5793100
9,2019-05-07,377,379.910004,365.809998,370.459991,6974900
9,2019-05-08,367.920013,369,361.359985,364.369995,6572000
9,2019-05-09,360.899994,364.200012,352.75,362.75,5882600
9,2019-05-10,361.619995,365.26001,353.059998,361.040009,5657100
9,2019-05-13,352.290009,354.26001,343.100006,345.26001,8026700
9,2019-05-14,348.709991,349.950012,342.5,345.609985,5353000
9,2019-05-15,343.339996,356.5,341.390015,354.98999,6340100
9,2019-05-16,356.369995,364,353.940002,359.309998,6441500
9,2019-05-17,356.390015,359.619995,353.790009,354.450012,4725400
9,2019-05-20,351.230011,352.420013,345.399994,348.109985,4621500
9,2019-05-21,350.950012,356.429993,349.929993,354.269989,4026400
9,2019-05-22,358.01001,370.459991,357.299988,359.730011,6229400
9,2019-05-23,355.5,357.420013,347.700012,352.209991,5630400
9,2019-05-24,355.410004,359.440002,353.790009,354.390015,3831000
9,2019-05-28,354.390015,361.200012,353.649994,355.059998,4717100
9,2019-05-29,353.600006,353.850006,345.899994,349.190002,5658900
9,2019-05-30,350.549988,354.209991,348.299988,351.850006,4008000
9,2019-05-31,347.220001,349.339996,342.920013,343.279999,5023400
9,2019-06-03,343.559998,347.660004,332.649994,336.630005,7849600
9,2019-06-04,345,353.609985,343.25,353.399994,7891600
9,2019-06-05,354.380005,357.880005,348.709991,355.730011,5020100
9,2019-06-06,354.839996,358.209991,352.089996,357.130005,3710000
9,2019-06-07,357.390015,365.149994,355.690002,360.869995,4777300
9,2019-06-10,363.649994,367.100006,349.290009,352.01001,7810300
9,2019-06-11,355,357.579987,348.5,351.269989,5396700
9,2019-06-12,351.820007,353.609985,343.230011,345.559998,4584700
9,2019-06-13,347.230011,348.5,339.25,343.429993,6209300
9,2019-06-14,341.630005,343.399994,336.160004,339.730011,5019000
9,2019-06-17,342.690002,351.769989,342.059998,350.619995,5358200
9,2019-06-18,355.570007,361.5,353.75,357.119995,5428500
9,2019-06-19,361.720001,364.73999,356.119995,363.519989,5667200
9,2019-06-20,365.910004,370.119995,361.220001,365.209991,5899500
9,2019-06-21,365,371.450012,365,369.209991,7448400
9,2019-06-24,370.269989,375,370.200012,371.040009,4830200
9,2019-06-25,370.75,371,358.290009,360.299988,5750400
9,2019-06-26,361.600006,366.790009,361.600006,362.200012,3669700
9,2019-06-27,363.200012,370.850006,363.200012,370.019989,4138600
9,2019-06-28,370.26001,371.540009,364.869995,367.320007,4592700
9,2019-07-01,373.5,376.660004,372,374.600006,4992600
9,2019-07-02,374.890015,376,370.309998,375.429993,3625000
9,2019-07-03,376.690002,381.98999,375.839996,381.720001,3799000
9,2019-07-05,378.290009,381.399994,375.559998,380.549988,3732200
9,2019-07-08,378.190002,378.25,375.359985,376.160004,3113400
9,2019-07-09,379.059998,384.76001,377.5,379.929993,6932800
9,2019-07-10,382.769989,384.339996,362.679993,381,5878800
9,2019-07-11,381.100006,384.540009,378.799988,379.5,4336300
9,2019-07-12,378.679993,379.73999,372.790009,373.25,6636900
9,2019-07-15,372.940002,373.679993,362.299988,366.600006,7944700
9,2019-07-16,370.089996,371.339996,364.920013,365.98999,5863200
9,2019-07-17,366.25,366.5,361.75,362.440002,13639500
9,2019-07-18,323.76001,329.850006,320.299988,325.209991,31287100
9,2019-07-19,323.399994,325.850006,314.230011,315.100006,16302500
9,2019-07-22,312,314.540009,305.809998,310.619995,17718000
9,2019-07-23,311.440002,313.5,306,307.299988,9171100
9,2019-07-24,310.51001,319.98999,307.25,317.940002,11961800
9,2019-07-25,318.859985,327.690002,316.299988,326.459991,10798500
9,2019-07-26,328.790009,336,327.5,335.779999,10847500
9,2019-07-29,335.980011,336.399994,328.769989,332.700012,5782800
9,2019-07-30,329.200012,329.649994,323.230011,325.929993,6029300
9,2019-07-31,325.160004,331.769989,318.529999,322.98999,6259500
9,2019-08-01,324.25,328.579987,318.73999,319.5,6563200
9,2019-08-02,317.48999,319.410004,311.799988,318.829987,6280300
