company_id,Date,Open,High,Low,Close,Volume
4,2019-03-18,181.929993,182.889999,180.759995,181.830002,7847800
4,2019-03-19,181.630005,183.360001,180.850006,182.139999,10238600
4,2019-03-20,180.940002,181.949997,178.429993,181.279999,15901500
4,2019-03-21,178.949997,181.729996,178.520004,181.5,9754500
4,2019-03-22,179.770004,180.479996,175.335999,176.259995,11688400
4,2019-03-25,174.330002,178.899994,174.100006,178.770004,7511400
4,2019-03-26,179.699997,180.649994,177.095001,178.080002,7897900
4,2019-03-27,177.699997,179.830002,176.912994,177.029999,8371000
4,2019-03-28,177.470001,178.529999,175.970001,177.729996,7146800
4,2019-03-29,180.729996,182.600006,179,182.449997,13850900
4,2019-04-01,185.089996,185.559998,180.889999,180.889999,12714800
4,2019-04-02,181.460007,183.563004,180.949997,181.740005,8021500
4,2019-04-03,179.509995,180.699997,176.759995,178.320007,26811600
4,2019-04-04,177.039993,181.960007,176.889999,181.070007,16993200
4,2019-04-05,182.509995,185.5,182,185.350006,18705000
4,2019-04-08,184.190002,187.820007,184.009995,186.5,14725600
4,2019-04-09,186.490005,187.889999,186.160004,187.190002,11578200
4,2019-04-10,186.690002,187.399994,184,186.190002,10655000
4,2019-04-11,185.149994,186.059998,183.75,184.979996,8900300
4,2019-04-12,187.710007,189.789993,187.139999,188.910004,12600000
4,2019-04-15,188.059998,188.169998,182.559998,183.070007,14616600
4,2019-04-16,185.550003,185.789993,183.399994,185.779999,12195900
4,2019-04-17,187.339996,188.199997,185.779999,187.550003,11614200
4,2019-04-18,186.410004,187.279999,185.389999,186.940002,7882500
4,2019-04-22,184.5,186.470001,183.610001,185.380005,8677800
4,2019-04-23,186,188.149994,185.440002,187.289993,11410600
4,2019-04-24,186.759995,186.899994,184.580002,185.669998,9085300
4,2019-04-25,185.240005,188.130005,183.955002,187.880005,10328900
4,2019-04-26,187.880005,188.740005,185.509995,187.089996,9421100
4,2019-04-29,187.419998,188,185.759995,186.940002,8660600
4,2019-04-30,186.300003,188.25,183.820007,185.570007,15076500
4,2019-05-01,186.75,193.195007,185.880005,189.309998,17397500
4,2019-05-02,189.419998,192.699997,186.649994,190.389999,11468100
4,2019-05-03,191.880005,195.720001,191.880005,195.210007,14521100
4,2019-05-06,185.169998,189,184.830002,188.240005,23941200
4,2019-05-07,186.050003,186.449997,179.630005,181.429993,22663200
4,2019-05-08,180.949997,183.199997,178.580002,179.589996,16611100
4,2019-05-09,175.429993,180.695007,173.070007,179.039993,22727800
4,2019-05-10,180.179993,180.789993,174.100006,178,18987000
4,2019-05-13,169.789993,172.470001,168.779999,170.009995,22330700
4,2019-05-14,172.75,175.149994,171.479996,174.839996,17874100
4,2019-05-15,177.059998,180.240005,173.320999,177.600006,37610400
4,2019-05-16,178.179993,178.25,174.75,175.570007,20579200
4,2019-05-17,171.690002,172.289993,168.490005,169.570007,22539400
4,2019-05-20,164.440002,164.570007,160.020004,160.649994,33413800
4,2019-05-21,163.160004,165.589996,162.520004,163.429993,22006100
4,2019-05-22,162.410004,162.820007,158.070007,158.830002,25831200
4,2019-05-23,155.449997,158.479996,154.410004,156,26891900
4,2019-05-24,157.615005,158.429993,154.899994,155,21489700
4,2019-05-28,156.399994,157.070007,153.220001,154.809998,38603000
4,2019-05-29,153.580002,154.384995,150.710007,152.479996,30073100
4,2019-05-30,152.360001,153.369995,150.25,151.070007,17344700
4,2019-05-31,149.630005,150.679993,147.949997,149.259995,26881200
4,2019-06-03,149.600006,151.770004,148.845001,149.910004,25254400
4,2019-06-04,151.559998,155.199997,150.639999,154.149994,27417200
4,2019-06-05,155.169998,156.110001,149.309998,151.649994,23208600
4,2019-06-06,152,152.699997,150.570007,151.5,15763000
4,2019-06-07,152.949997,155.690002,152.214005,154.229996,17817800
